source_es	ref_informal	cs	informal_lex	dialect	phonetic	density	ref_batua
pero nosotras quedamos mas monas ee	Guk politxau eitzen du ee	0.0	0.0	1.0	1.0	2	Guk politago egiten dugu
no puedo escuchar estoy en la biblioteca	Ezin dut entzun liburutegian naiiiz	0.0	0.0	0.0	1.0	1	Ezin dut entzun liburutegian naiz
sin mas me ha hecho mogollon d gracia	Sin mas sobera irriarazi nau	1.0	0.0	1.0	0.0	2	Besterik gabe barre eginarazi dit
pero estoy con alain y en nada se va	Baina alainekin nago ta laister jungo da	0.0	0.0	1.0	0.0	1	Baina Alainekin nago eta laster joango da
po bueno yo creo q hoy ya estoy mejor	Baina bueno nik uste gaur ya hobe nagola	1.0	0.0	1.0	0.0	2	Baina tira nik uste gaur jada hobeto nagoela
feliz navidad estoy medio dormida yaa	egubarrion erdi lo nau ya	1.0	0.0	1.0	0.0	2	erdi lo nago jada
El lunes tenemos q hacer terapia q estoy fatall	Astelehenenn terapia in behar deuu que estoy fatall	1.0	0.0	1.0	1.0	3	Astelehenean terapia egin behar dugu oso gaizki nago eta
yo tambieeeen	Nik ereeeee	0.0	0.0	0.0	1.0	1	Nik ere bai
Vive allí	Han bizi da	0.0	0.0	0.0	0.0	0	Han bizi da
ella tampoco las tiene rectas eh	Berak be eztakoz rektoo	1.0	0.0	1.0	1.0	3	Berak ere ez ditu zuzen
holissss acabo de leer los mensajes ahora perdon	Epii, auntzek irakurri dotez mezuek, parkatu	0.0	1.0	1.0	1.0	3	barkatu
Ha sido la primera vez?	Lehenengo aldia izan da?	0.0	0.0	0.0	0.0	0	Lehenengo aldia izan da?
Jooo pues ahora t paso	Jooo ba ointxe pasaukotzuut	0.0	1.0	1.0	1.0	3	Ene ba oraintxe bidaliko dizut
traelaa	Ekarri	0.0	0.0	0.0	0.0	0	Ekarri
po q guapos q somos!!	Guapuek zer gara baie??	0.0	0.0	1.0	1.0	2	Zein guapoak garen
siiiiiiiiiii!! y ya casi estan listos ahi!!! :)  comen solos	Baiiiiii !! Eta laster prest dira hor !!! :) jaten dute bakarrik	0.0	0.0	1.0	1.0	2	Bai! Eta laster prest dira hor! Bakarrik jaten dute
La gente vino asi q nitanmal	Jendia etorri zan asike nitanmal	1.0	0.0	1.0	0.0	2	Jendea etorri zen beraz gaitz erdi
no te pega llorar	No te pega negar iteaa	1.0	0.0	1.0	1.0	3	Negar egitea ez dator bat zurekin
sii fijo en alguna fiesta	Baai, jairen baten fijoo	1.0	0.0	0.0	1.0	2	jairen baten ziur
madreeeee asii	Aiamaaa asii	1.0	1.0	0.0	1.0	3	horrela
siiiii es buena ideaaa	Baiiii ideia ona daaaa	0.0	0.0	0.0	1.0	1	Bai ideia ona da
vienes a kuku??	Etorri kukueea?	0.0	0.0	0.0	0.0	0	Etorri kukuenera
si si ya todoo terminado ??	Baai dana amaitzute??	0.0	0.0	1.0	1.0	2	dena bukatuta
Un besote bonita hablamos mañana??????	Muxu bat potxoli bihar hitz egingo dugu??????	0.0	1.0	0.0	1.0	2	Muxu bat potxolo bihar hitz egingo dugu?
tranqui araan yo hare q se entere	Trankil araan nik ingoet konturatzea!	0.0	0.0	1.0	1.0	2	Lasai Aran nik konturaraziko diot
cochinaa	Kotxinoo	1.0	0.0	0.0	1.0	2	Zikina
waaaa es en tu casa??	Waaaa zure etxean da??	0.0	0.0	0.0	1.0	1	zure etxean da?
a ver si le conocemos en alguna juerga	Abeer juerganbaten ezautzen deun	1.0	0.0	1.0	1.0	3	Ea parrandaren baten ezagutzen dugun
Lo vere xo q pereza	Ikusikoot baño pereza emateit	1.0	0.0	1.0	0.0	2	baina nagia ematen dit
es q es un poco tontillo no se enterara!	Esk tonto xamarra da eztaa kontuauko!	1.0	1.0	1.0	0.0	3	Tonto samarra denez ez da konturatuko!
se acuerda d vosotros al vr sto?? Conversciones profundas ajajjajaja	hau ikusi ta zuetaz guatzea?? konbersazio sakonak ajajjajaja	1.0	0.0	1.0	1.0	3	Hau ikusita gogoratzen da zuetaz? Konbertsazio sakonak jajaja
yo me tengo q contrlar solo uno a la semana	Nik reguleta einbidot, astien bat bakarrik	0.0	0.0	1.0	0.0	1	astean bat bakarrik
Grabamos el video que nos falta mañana vale?? Ya lo siento?????	Bihar grabatuko dugu falta zaigun bideoa bale???sentitzen dut?????	0.0	0.0	0.0	1.0	1	Bihar grabatuko dugu falta zaigun bideoa ados? Sentitzen dut!
Qienes han estao?	Nortzuk egon dire?	0.0	0.0	1.0	0.0	1	Nortzuk egon dira?
jajaja super super bien muy guay	Hahaah oso oso ondo egonda oso politxee	0.0	1.0	1.0	1.0	3	oso ondo egon da oso polita
bien bienn	Ondo ondo	0.0	1.0	0.0	0.0	1	Ondo
saliendo yaaa	Abiatzen naiiiz	0.0	0.0	0.0	1.0	1	Abiatu naiz
Ya me han contao Lore q tal estas? Descansa	Kontatu didate Lore, zer moduz zaude? Deskantsatu	0.0	0.0	0.0	0.0	0	zer moduz zaude? Deskantsatu
tontiiiii	Txotxola	0.0	1.0	0.0	0.0	1	Tuntuna
la paciencia es lo ultimo q se pierde!	Pazientzia da azkena galtzen dena!	0.0	0.0	0.0	0.0	0	Pazientzia da galtzen den azkena!
Yo tb quiro jaja	Nik ere nahi dut jajaja	0.0	0.0	0.0	1.0	1	Nik ere nahi dut jajaja
en la sqina	Ixkiñannn	0.0	0.0	1.0	1.0	2	Izkinan
como siempre	Betikulezz	0.0	0.0	1.0	1.0	2	Beti bazala
pos piensa en otro	Besten bat pentsaubenga	1.0	0.0	1.0	0.0	2	tira
tendremos q ir esta semana tb	Jumbeharko astehontan re	0.0	0.0	1.0	0.0	1	Joan beharko aste honetan ere
Queria etiquetar a ainhoa	Ainhoai etiketatu nahi nion...	0.0	0.0	1.0	0.0	1	Ainhoa etiketatu nahi nuen...
aun asi gracias por hablar conmigo y a ver si algun dia coincidimos o algo	Halan da be, eskerrik asko berba eitzigaitzik ta ia inoiz ilustran la badu alkar	0.0	0.0	1.0	0.0	1	eskerrik asko hitz egiteagatik eta ea inoiz elkar ikusten dugun
tenmos q acer mas destas	Olako geio inbeaiteu	0.0	0.0	1.0	1.0	2	Horrelako gehiago egin behar ditugu
aufaaait!! igual hemos pillado por fin el piso con louis estamos esperando respuesta de la agencia	Aufaaaait !! Beharba atxeman dugu aparta Louisrekin agentziaren erantzuna goitatzen dugu	1.0	1.0	1.0	1.0	4	agentziaren erantzunaren zain gaude
le conoces??	Ezautzezuu?	0.0	0.0	1.0	1.0	2	Ezagutzen al duzu?
trabajas siempre?	Beti lan iten duzu?	0.0	0.0	1.0	0.0	1	Beti egiten duzu lan?
si q eres especial!	Expexiia zea!	0.0	0.0	1.0	1.0	2	Berezia zara!
A ver que pasaaaaaaa	Ea zer gertatzen deeeeen	0.0	0.0	0.0	1.0	1	Ea zer gertatzen den
Sigue metiendo caña	Segi egurra ematen	0.0	1.0	0.0	0.0	1	Segi egurra ematen
careto de arrona brutal	Arronan arpidxe brutal	1.0	0.0	1.0	0.0	2	Arronaren aurpegia izugarria
